,State_x,City_x,2010 POP,Median 2010,2011 POP,Median 2011,2012 POP,Median 2012,2013 POP,Median 2013,2014 POP,Median 2014,2015 POP,Median 2015,2016 POP,Median 2016,2017 POP,Median 2017,Brewery Name,City_y,State_y,Country,Year Established,Still in Business?,Closed?
76500,Washington,Newcastle city,10393,57244,10538,58890,10786,59374,11035,59478,11174,60294,11324,61062,11541,62848,11681,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76501,Washington,Normandy Park city,6350,57244,6422,58890,6515,59374,6560,59478,6618,60294,6665,61062,6666,62848,6649,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76502,Washington,North Bend city,5860,57244,5950,58890,6052,59374,6270,59478,6604,60294,6697,61062,6753,62848,6821,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76503,Washington,Pacific city (pt.),6527,57244,6614,58890,6752,59374,6952,59478,6990,60294,7027,61062,7045,62848,7083,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76504,Washington,Redmond city,54504,57244,55457,58890,56539,59374,57449,59478,59160,60294,60378,61062,62359,62848,64291,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76505,Washington,Renton city,92295,57244,94096,58890,95940,59374,97172,59478,98509,60294,100157,61062,101142,62848,101379,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76506,Washington,Sammamish city,57622,57244,58706,58890,59973,59374,61058,59478,62127,60294,63077,61062,63580,62848,64548,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76507,Washington,SeaTac city,26983,57244,27541,58890,27963,59374,28165,59478,28329,60294,28439,61062,29044,62848,29140,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76508,Washington,Seattle city,610333,57244,622532,58890,635974,59374,654176,59478,669641,60294,685447,61062,707255,62848,724745,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76509,Washington,Shoreline city,53153,57244,53748,58890,54463,59374,54851,59478,55209,60294,55431,61062,55480,62848,56189,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76510,Washington,Skykomish town,197,57244,200,58890,204,59374,206,59478,208,60294,210,61062,210,62848,216,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
76511,Washington,Snoqualmie city,10754,57244,11118,58890,11628,59374,12067,59478,12672,60294,13201,61062,13267,62848,13500,66174,DC Brau Brewing Company,Washington,District of Columbia,UNITED STATES,2009.0,Y,N
